dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,33.717,0.003
bf16,bf16,1,4096,27.906,0.016
bf16,bf16,1,8192,27.787,0.033
bf16,bf16,1,16384,27.432,0.066
bf16,bf16,1,32768,40.768,0.089
bf16,bf16,1,65536,61.297,0.118
bf16,bf16,1,131072,100.459,0.144
bf16,bf16,16,1024,39.044,0.046
bf16,bf16,16,4096,63.144,0.115
bf16,bf16,16,8192,110.247,0.132
bf16,bf16,16,16384,206.64,0.14
bf16,bf16,16,32768,397.484,0.146
bf16,bf16,16,65536,775.252,0.15
bf16,bf16,16,131072,1526.891,0.152
bf16,bf16,32,1024,39.683,0.091
bf16,bf16,32,4096,111.685,0.13
bf16,bf16,32,8192,206.458,0.141
bf16,bf16,32,16384,396.197,0.146
bf16,bf16,32,32768,775.956,0.15
bf16,bf16,32,65536,1530.438,0.152
bf16,bf16,32,131072,3043.933,0.153
bf16,bf16,64,1024,60.346,0.12
bf16,bf16,64,4096,203.925,0.142
bf16,bf16,64,8192,391.887,0.148
bf16,bf16,64,16384,770.47,0.151
bf16,bf16,64,32768,1525.279,0.152
bf16,bf16,64,65536,3038.948,0.153
bf16,bf16,64,131072,6063.504,0.153
bf16,bf16,128,1024,114.45,0.127
bf16,bf16,128,4096,401.49,0.145
bf16,bf16,128,8192,783.281,0.148
bf16,bf16,128,16384,1532.775,0.151
bf16,bf16,128,32768,3053.287,0.152
bf16,bf16,128,65536,6098.811,0.152
bf16,bf16,256,1024,200.765,0.145
bf16,bf16,256,4096,696.779,0.167
bf16,bf16,256,8192,1350.988,0.172
bf16,bf16,256,16384,2682.445,0.173
bf16,bf16,512,1024,381.934,0.152
bf16,bf16,512,4096,1352.674,0.172
bf16,bf16,512,8192,2663.393,0.174
